,year,run_time,budget,domestic,worldwide
count,947.0,947.0,947.0,947.0,947.0
mean,2003.9778247096092,113.41710665258712,58792061.24604013,80100555.87328406,173432366.12882787
std,5.984346592787048,17.356973450146146,42402709.27922216,55985915.80336471,138531710.92533904
min,1990.0,77.0,7000.0,30471.0,30471.0
25%,2000.0,100.5,26000000.0,36713335.0,66958180.0
50%,2004.0,112.0,50000000.0,65452312.0,133440870.0
75%,2008.0,124.0,81500000.0,113929130.0,239460620.5
max,2018.0,168.0,190000000.0,267665011.0,631746197.0
